ID	QUALITY
ERR346600.339	30
ERR346600.360	29
ERR346600.351	34
ERR346600.334	33
ERR346600.371	33
ERR346600.349	37
ERR346600.364	28
ERR346600.369	26
ERR346600.365	29
ERR346600.373	37
ERR346600.368	25
ERR346600.378	30
ERR346600.355	30
ERR346600.370	31
ERR346600.366	32
ERR346600.384	22
ERR346600.362	28
ERR346600.381	33
ERR346600.379	32
ERR346600.387	36
ERR346600.372	38
ERR346600.377	37
ERR346600.356	36
ERR346600.388	36
ERR346600.383	28
ERR346600.376	36
ERR346600.385	33
ERR346600.394	36
ERR346600.390	35
ERR346600.395	32
ERR346600.401	37
ERR346600.375	33
ERR346600.400	35
ERR346600.399	26
ERR346600.393	11
ERR346600.380	37
ERR346600.392	24
ERR346600.411	29
ERR346600.382	23
ERR346600.391	33
ERR346600.408	31
ERR346600.405	37
ERR346600.386	35
ERR346600.397	21
ERR346600.398	34
ERR346600.402	38
ERR346600.404	36
ERR346600.410	25
ERR346600.407	26
ERR346600.412	25
ERR346600.406	35
ERR346600.413	38
ERR346600.414	36
ERR346600.409	27
ERR346600.416	33
ERR346600.418	33
ERR346600.415	36
ERR346600.420	33
ERR346600.419	25
ERR346600.417	37
ERR346600.421	30
ERR346600.424	33
ERR346600.431	31
ERR346600.432	24
ERR346600.426	33
ERR346600.436	34
ERR346600.427	35
ERR346600.434	37
ERR346600.440	28
ERR346600.430	33
ERR346600.445	35
ERR346600.428	22
ERR346600.437	37
ERR346600.451	32
ERR346600.439	35
ERR346600.423	34
ERR346600.449	27
ERR346600.446	34
ERR346600.425	35
ERR346600.443	31
ERR346600.442	37
ERR346600.438	34
ERR346600.422	33
ERR346600.447	35
ERR346600.453	30
ERR346600.452	36
ERR346600.457	34
ERR346600.458	26
ERR346600.450	36
ERR346600.462	35
ERR346600.441	37
ERR346600.456	36
ERR346600.448	37
ERR346600.454	34
ERR346600.433	38
ERR346600.455	23
ERR346600.477	34
ERR346600.459	36
ERR346600.460	37
ERR346600.471	32
ERR346600.472	35
ERR346600.469	27
ERR346600.465	33
ERR346600.483	30
ERR346600.466	36
ERR346600.467	34
ERR346600.463	31
ERR346600.478	33
ERR346600.470	31
ERR346600.492	32
ERR346600.464	23
ERR346600.473	37
ERR346600.485	35
ERR346600.479	25
ERR346600.476	33
ERR346600.482	35
ERR346600.487	27
ERR346600.494	35
ERR346600.491	36
ERR346600.488	30
ERR346600.502	35
ERR346600.497	26
ERR346600.481	37
ERR346600.489	34
ERR346600.493	27
ERR346600.498	30
ERR346600.475	30
ERR346600.504	35
ERR346600.500	30
ERR346600.503	35
ERR346600.506	35
ERR346600.515	37
ERR346600.514	35
ERR346600.510	33
ERR346600.480	31
ERR346600.509	32
ERR346600.519	29
ERR346600.484	34
ERR346600.513	34
ERR346600.507	30
ERR346600.516	36
ERR346600.522	34
ERR346600.501	32
ERR346600.505	36
ERR346600.508	36
ERR346600.523	22
ERR346600.520	33
ERR346600.512	28
ERR346600.496	36
ERR346600.511	27
ERR346600.530	37
ERR346600.517	36
ERR346600.527	36
ERR346600.528	36
ERR346600.524	31
ERR346600.538	36
ERR346600.531	24
ERR346600.534	25
ERR346600.537	29
ERR346600.521	23
ERR346600.535	31
ERR346600.540	35
ERR346600.526	26
ERR346600.544	36
ERR346600.545	27
ERR346600.533	32
ERR346600.543	23
ERR346600.532	22
ERR346600.525	26
ERR346600.542	37
ERR346600.539	33
ERR346600.546	37
ERR346600.547	24
ERR346600.541	33
ERR346600.536	27
ERR346600.549	33
ERR346600.559	27
ERR346600.548	30
ERR346600.553	36
ERR346600.551	34
ERR346600.550	33
ERR346600.564	28
ERR346600.557	27
ERR346600.558	34
ERR346600.555	23
ERR346600.569	36
ERR346600.552	26
ERR346600.573	29
ERR346600.572	26
ERR346600.574	37
ERR346600.554	32
ERR346600.576	37
ERR346600.561	37
ERR346600.560	33
ERR346600.566	29
ERR346600.583	37
ERR346600.563	23
ERR346600.568	36
ERR346600.562	36
ERR346600.577	35
ERR346600.588	34
ERR346600.580	25
ERR346600.578	34
ERR346600.567	25
ERR346600.575	36
ERR346600.584	25
ERR346600.585	36
ERR346600.587	37
ERR346600.581	35
ERR346600.579	29
ERR346600.582	24
ERR346600.591	32
ERR346600.589	35
ERR346600.586	32
ERR346600.594	34
ERR346600.601	37
ERR346600.592	37
ERR346600.599	35
ERR346600.596	37
ERR346600.593	33
ERR346600.598	32
ERR346600.600	31
ERR346600.590	36
ERR346600.604	23
ERR346600.606	35
ERR346600.607	36
ERR346600.597	35
ERR346600.602	35
ERR346600.612	38
ERR346600.608	33
ERR346600.571	25
ERR346600.621	31
ERR346600.609	38
ERR346600.616	37
ERR346600.611	36
ERR346600.610	27
ERR346600.625	35
ERR346600.627	33
ERR346600.613	37
ERR346600.628	37
ERR346600.605	37
ERR346600.615	37
ERR346600.620	34
ERR346600.619	34
ERR346600.614	36
ERR346600.629	36
ERR346600.631	34
ERR346600.623	35
ERR346600.630	33
ERR346600.639	32
ERR346600.640	35
ERR346600.641	27
ERR346600.636	22
ERR346600.634	26
ERR346600.638	28
ERR346600.644	37
ERR346600.645	28
ERR346600.646	32
ERR346600.635	35
ERR346600.626	32
ERR346600.624	26
ERR346600.618	25
